name,size,ra_slug,ra_club_id,confidence,title_filter,title_exclude,notes
Sun and Snow,2 - S,promoters/77225,77225,1.000,,,corrected from promoters/170681
Sunny Side Malta,1 - XS,promoters/133905,133905,1.000,,,corrected from promoters/136888
Surf Punat,2 - S,events/2350926,2350926,1.000,,,Single event
Sweat,1 - XS,promoters/108831,108831,1.000,,,auto:ra-search
The Crave,3 - M,promoters/61141,61141,1.000,,,verified
Twisted,1 - XS,promoters/56457,56457,1.000,,,corrected from clubs/62176
Upclose,2 - S,promoters/39167,39167,1.000,Upclose,,corrected from promoters/160798; Awakenings Upclose (NL)
Vinculum,1 - XS,events/2314934,2314934,1.000,,,Single event
WHOLE,2 - S,promoters/80539,80539,1.000,,Wire,corrected from promoters/93886; Whole United Queer Festival Leipzig
Wake Up Stran-Jah,2 - S,promoters/105420,105420,1.000,,,verified
Waking Life,1 - XS,promoters/68304,68304,1.000,,,auto:ra-search
Waterworks,3 - M,promoters/55325,55325,1.000,Waterworks,,UK; same promoter as Love International; promoters/96536 is the same festival under a different RA entity
We Can Dance,2 - S,promoters/65813,65813,1.000,,,corrected from promoters/102621
We Out Here,3 - M,promoters/88249,88249,1.000,,,auto:ra-search
Westival,1 - XS,promoters/84639,84639,1.000,,,auto:ra-search
Wild Weide,2 - S,clubs/271207,271207,1.000,,,corrected from empty
Wild Wood,1 - XS,promoters/96968,96968,1.000,,,corrected from clubs/35742
Wire Festival,3 - M,promoters/80539,80539,1.000,Wire Festival,,Chicago; same promoter as WHOLE
XRDS,2 - S,promoters/71344,71344,1.000,,,verified
Yaga,2 - S,promoters/91273,91273,1.000,,,verified
memòri,1 - XS,promoters/177206,177206,1.000,,,verified
Melt Festival,3 - M,promoters/39094,39094,1.000,,,German festival (Ferropolis)
Draaimolen,2 - S,promoters/41717,41717,1.000,,,Dutch festival
Houghton,2 - S,promoters/66915,66915,1.000,,,UK festival (Norfolk)
Listen Festival,3 - M,promoters/60165,60165,1.000,,,Belgian festival (Brussels)
Riverside Festival,3 - M,promoters/51922,51922,1.000,,,Glasgow UK
Nachtdigital,2 - S,promoters/33109,33109,1.000,,,German summer festival (Saxony)
NACHTIVILLE,2 - S,promoters/52917,52917,1.000,,,German winter festival
